GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Anhui-EP_Coal_300_RC-ep-1200,2038,EP_Coal_300_RC,Anhui,Coal,350,0,.,1.55905e+07,5.5961e+06
Anhui-EP_Coal_300_RC-ep-1200,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1201,2038,EP_Coal_300_RC,Anhui,Coal,350,0,.,1.55905e+07,5.5961e+06
Anhui-EP_Coal_300_RC-ep-1201,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1202,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1202,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1203,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1203,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1204,2038,EP_Coal_300_RC,Anhui,Coal,330,0,.,1.46996e+07,5.27632e+06
Anhui-EP_Coal_300_RC-ep-1204,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1205,2038,EP_Coal_300_RC,Anhui,Coal,330,0,.,1.46996e+07,5.27632e+06
Anhui-EP_Coal_300_RC-ep-1205,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1210,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1210,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1211,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1211,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1212,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1212,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1213,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1213,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1214,2038,EP_Coal_300_RC,Anhui,Coal,320,0,.,1.42542e+07,5.11643e+06
Anhui-EP_Coal_300_RC-ep-1214,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1215,2038,EP_Coal_300_RC,Anhui,Coal,320,0,.,1.42542e+07,5.11643e+06
Anhui-EP_Coal_300_RC-ep-1215,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1216,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1216,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1217,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1217,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1222,2038,EP_Coal_300_RC,Anhui,Coal,300,0,.,1.33633e+07,4.79666e+06
Anhui-EP_Coal_300_RC-ep-1222,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1223,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1223,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1224,2038,EP_Coal_300_RC,Anhui,Coal,300,0,.,1.33633e+07,4.79666e+06
Anhui-EP_Coal_300_RC-ep-1224,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1225,2038,EP_Coal_300_RC,Anhui,Coal,300,0,.,1.33633e+07,4.79666e+06
Anhui-EP_Coal_300_RC-ep-1225,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1226,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1226,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1227,2038,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1227,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1228,2038,EP_Coal_300_RC,Anhui,Coal,300,0,.,1.33633e+07,4.79666e+06
Anhui-EP_Coal_300_RC-ep-1228,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_300_RC-ep-1229,2038,EP_Coal_300_RC,Anhui,Coal,300,0,.,1.33633e+07,4.79666e+06
Anhui-EP_Coal_300_RC-ep-1229,2048,EP_Coal_300_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_OT-ep-1168,2038,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1168,2048,EP_Coal_600_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_OT-ep-1169,2038,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1169,2048,EP_Coal_600_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_OT-ep-1170,2038,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1170,2048,EP_Coal_600_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_OT-ep-1171,2038,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1171,2048,EP_Coal_600_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_OT-ep-1172,2038,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1172,2048,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1173,2038,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1173,2048,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1174,2038,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1174,2048,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1175,2038,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1175,2048,EP_Coal_600_OT,Anhui,Coal,660,0,.,2.25977e+07,8.20742e+06
Anhui-EP_Coal_600_OT-ep-1194,2038,EP_Coal_600_OT,Anhui,Coal,630,0,.,2.15705e+07,7.83435e+06
Anhui-EP_Coal_600_OT-ep-1194,2048,EP_Coal_600_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_OT-ep-1195,2038,EP_Coal_600_OT,Anhui,Coal,630,0,.,2.15705e+07,7.83435e+06
Anhui-EP_Coal_600_OT-ep-1195,2048,EP_Coal_600_OT,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1158,2038,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1158,2048,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1159,2038,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1159,2048,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1160,2038,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1160,2048,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1161,2038,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1161,2048,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1162,2038,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1162,2048,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1163,2038,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1163,2048,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1164,2038,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1164,2048,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1165,2038,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1165,2048,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1166,2038,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1166,2048,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1167,2038,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1167,2048,EP_Coal_600_RC,Anhui,Coal,660,0,.,2.52765e+07,9.18009e+06
Anhui-EP_Coal_600_RC-ep-1176,2038,EP_Coal_600_RC,Anhui,Coal,640,0,.,2.45105e+07,8.9019e+06
Anhui-EP_Coal_600_RC-ep-1176,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1177,2038,EP_Coal_600_RC,Anhui,Coal,640,0,.,2.45105e+07,8.9019e+06
Anhui-EP_Coal_600_RC-ep-1177,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1178,2038,EP_Coal_600_RC,Anhui,Coal,640,0,.,2.45105e+07,8.9019e+06
Anhui-EP_Coal_600_RC-ep-1178,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1179,2038,EP_Coal_600_RC,Anhui,Coal,640,0,.,2.45105e+07,8.9019e+06
Anhui-EP_Coal_600_RC-ep-1179,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1180,2038,EP_Coal_600_RC,Anhui,Coal,640,0,.,2.45105e+07,8.9019e+06
Anhui-EP_Coal_600_RC-ep-1180,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1181,2038,EP_Coal_600_RC,Anhui,Coal,640,0,.,2.45105e+07,8.9019e+06
Anhui-EP_Coal_600_RC-ep-1181,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1182,2038,EP_Coal_600_RC,Anhui,Coal,630,0,.,2.41275e+07,8.76281e+06
Anhui-EP_Coal_600_RC-ep-1182,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1183,2038,EP_Coal_600_RC,Anhui,Coal,630,0,.,2.41275e+07,8.76281e+06
Anhui-EP_Coal_600_RC-ep-1183,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1184,2038,EP_Coal_600_RC,Anhui,Coal,630,0,.,2.41275e+07,8.76281e+06
Anhui-EP_Coal_600_RC-ep-1184,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1185,2038,EP_Coal_600_RC,Anhui,Coal,630,0,.,2.41275e+07,8.76281e+06
Anhui-EP_Coal_600_RC-ep-1185,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1186,2038,EP_Coal_600_RC,Anhui,Coal,630,0,.,2.41275e+07,8.76281e+06
Anhui-EP_Coal_600_RC-ep-1186,2048,EP_Coal_600_RC,Anhui,Coal,630,0,.,2.41275e+07,8.76281e+06
Anhui-EP_Coal_600_RC-ep-1187,2038,EP_Coal_600_RC,Anhui,Coal,630,0,.,2.41275e+07,8.76281e+06
Anhui-EP_Coal_600_RC-ep-1187,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1188,2038,EP_Coal_600_RC,Anhui,Coal,630,0,.,2.41275e+07,8.76281e+06
Anhui-EP_Coal_600_RC-ep-1188,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1189,2038,EP_Coal_600_RC,Anhui,Coal,630,0,.,2.41275e+07,8.76281e+06
Anhui-EP_Coal_600_RC-ep-1189,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1190,2038,EP_Coal_600_RC,Anhui,Coal,630,0,.,2.41275e+07,8.76281e+06
Anhui-EP_Coal_600_RC-ep-1190,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1191,2038,EP_Coal_600_RC,Anhui,Coal,630,0,.,2.41275e+07,8.76281e+06
Anhui-EP_Coal_600_RC-ep-1191,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1192,2038,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1192,2048,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
Anhui-EP_Coal_600_RC-ep-1193,2038,EP_Coal_600_RC,Anhui,Coal,0,0,.,0,0
