load_zone,technology,period,capacity
Jiangsu,Coal_100_OT,2038,0
Jiangsu,Coal_100_OT,2048,0
Jiangsu,Coal_100_OT_CCS,2038,0
Jiangsu,Coal_100_OT_CCS,2048,0
Jiangsu,Coal_100_OT_H2,2038,0
Jiangsu,Coal_100_OT_H2,2048,0
Jiangsu,Coal_100_RC,2038,0
Jiangsu,Coal_100_RC,2048,0
Jiangsu,Coal_100_RC_CCS,2038,0
Jiangsu,Coal_100_RC_CCS,2048,0
Jiangsu,Coal_100_RC_H2,2038,0
Jiangsu,Coal_100_RC_H2,2048,0
Jiangsu,Coal_100_SEA,2038,0.0
Jiangsu,Coal_100_SEA,2048,0.0
Jiangsu,Coal_100_SEA_CCS,2038,0.0
Jiangsu,Coal_100_SEA_CCS,2048,0.0
Jiangsu,Coal_100_SEA_H2,2038,0.0
Jiangsu,Coal_100_SEA_H2,2048,0.0
Jiangsu,Coal_300_OT,2038,0.0
Jiangsu,Coal_300_OT,2048,0.0
Jiangsu,Coal_300_OT_CCS,2038,0.0
Jiangsu,Coal_300_OT_CCS,2048,0.0
Jiangsu,Coal_300_OT_H2,2038,0.0
Jiangsu,Coal_300_OT_H2,2048,0.0
Jiangsu,Coal_300_RC,2038,0.0
Jiangsu,Coal_300_RC,2048,0.0
Jiangsu,Coal_300_RC_CCS,2038,0.0
Jiangsu,Coal_300_RC_CCS,2048,0.0
Jiangsu,Coal_300_RC_H2,2038,0.0
Jiangsu,Coal_300_RC_H2,2048,0.0
Jiangsu,Coal_300_SEA,2038,0.0
Jiangsu,Coal_300_SEA,2048,0.0
Jiangsu,Coal_300_SEA_CCS,2038,0.0
Jiangsu,Coal_300_SEA_CCS,2048,0.0
Jiangsu,Coal_300_SEA_H2,2038,0.0
Jiangsu,Coal_300_SEA_H2,2048,0.0
Jiangsu,Coal_600_OT,2038,0.0
Jiangsu,Coal_600_OT,2048,0.0
Jiangsu,Coal_600_OT_CCS,2038,0.0
Jiangsu,Coal_600_OT_CCS,2048,0.0
Jiangsu,Coal_600_OT_H2,2038,0.0
Jiangsu,Coal_600_OT_H2,2048,0.0
Jiangsu,Coal_600_RC,2038,0.0
Jiangsu,Coal_600_RC,2048,0.0
Jiangsu,Coal_600_RC_CCS,2038,0.0
Jiangsu,Coal_600_RC_CCS,2048,0.0
Jiangsu,Coal_600_RC_H2,2038,0.0
Jiangsu,Coal_600_RC_H2,2048,0.0
Jiangsu,Coal_600_SEA,2038,0.0
Jiangsu,Coal_600_SEA,2048,0.0
Jiangsu,Coal_600_SEA_CCS,2038,0.0
Jiangsu,Coal_600_SEA_CCS,2048,0.0
Jiangsu,Coal_600_SEA_H2,2038,0.0
Jiangsu,Coal_600_SEA_H2,2048,0.0
Jiangsu,Coal_IGCC_RC,2038,0.0
Jiangsu,Coal_IGCC_RC,2048,0.0
Jiangsu,Coal_IGCC_RC_CCS,2038,0.0
Jiangsu,Coal_IGCC_RC_CCS,2048,0.0
Jiangsu,Coal_IGCC_RC_H2,2038,0.0
Jiangsu,Coal_IGCC_RC_H2,2048,0.0
Jiangsu,Coal_Small_OT,2038,0
Jiangsu,Coal_Small_OT,2048,0
Jiangsu,Coal_Small_OT_CCS,2038,0
Jiangsu,Coal_Small_OT_CCS,2048,0
Jiangsu,Coal_Small_OT_H2,2038,0
Jiangsu,Coal_Small_OT_H2,2048,0
Jiangsu,Coal_Small_RC,2038,0
Jiangsu,Coal_Small_RC,2048,0
Jiangsu,Coal_Small_RC_CCS,2038,0
Jiangsu,Coal_Small_RC_CCS,2048,0
Jiangsu,Coal_Small_RC_H2,2038,0
Jiangsu,Coal_Small_RC_H2,2048,0
Jiangsu,Coal_Small_SEA,2038,0.0
Jiangsu,Coal_Small_SEA,2048,0.0
Jiangsu,Coal_Small_SEA_CCS,2038,0.0
Jiangsu,Coal_Small_SEA_CCS,2048,0.0
Jiangsu,Coal_Small_SEA_H2,2038,0.0
Jiangsu,Coal_Small_SEA_H2,2048,0.0
Jiangsu,Commercial_PV,2038,1057.142857
Jiangsu,Commercial_PV,2048,1057.142857
Jiangsu,EP_Coal_1000_OT,2038,17060.0
Jiangsu,EP_Coal_1000_OT,2048,15060.0
Jiangsu,EP_Coal_1000_OT_CCS,2038,0
Jiangsu,EP_Coal_1000_OT_CCS,2048,0
Jiangsu,EP_Coal_1000_OT_H2,2038,0
Jiangsu,EP_Coal_1000_OT_H2,2048,0
Jiangsu,EP_Coal_1000_RC,2038,8030.0
Jiangsu,EP_Coal_1000_RC,2048,8030.0
Jiangsu,EP_Coal_1000_RC_CCS,2038,0
Jiangsu,EP_Coal_1000_RC_CCS,2048,0
Jiangsu,EP_Coal_1000_RC_H2,2038,0
Jiangsu,EP_Coal_1000_RC_H2,2048,0
Jiangsu,EP_Coal_1000_SEA,2038,2000.0
Jiangsu,EP_Coal_1000_SEA,2048,2000.0
Jiangsu,EP_Coal_1000_SEA_CCS,2038,0
Jiangsu,EP_Coal_1000_SEA_CCS,2048,0
Jiangsu,EP_Coal_1000_SEA_H2,2038,0
Jiangsu,EP_Coal_1000_SEA_H2,2048,0
Jiangsu,EP_Coal_300_OT,2038,2850.0
Jiangsu,EP_Coal_300_OT,2048,0
Jiangsu,EP_Coal_300_OT_CCS,2038,0
Jiangsu,EP_Coal_300_OT_CCS,2048,0
Jiangsu,EP_Coal_300_OT_H2,2038,0
Jiangsu,EP_Coal_300_OT_H2,2048,0
Jiangsu,EP_Coal_300_RC,2038,7450.0
Jiangsu,EP_Coal_300_RC,2048,0
Jiangsu,EP_Coal_300_RC_CCS,2038,0
Jiangsu,EP_Coal_300_RC_CCS,2048,0
Jiangsu,EP_Coal_300_RC_H2,2038,0
Jiangsu,EP_Coal_300_RC_H2,2048,0
Jiangsu,EP_Coal_300_SEA,2038,0.0
Jiangsu,EP_Coal_300_SEA,2048,0.0
Jiangsu,EP_Coal_300_SEA_CCS,2038,0.0
Jiangsu,EP_Coal_300_SEA_CCS,2048,0.0
Jiangsu,EP_Coal_300_SEA_H2,2038,0.0
Jiangsu,EP_Coal_300_SEA_H2,2048,0.0
